category_name,total_sales
Fishing,6226935.29
Cleats,3982856.5
Camping & Hiking,3700783.63
Cardio Equipment,3320250.7
Women's Apparel,2828708.5
Water Sports,2798044.18
Men's Footwear,2598494.42
Indoor/Outdoor Games,2596454.02
Shop By Sport,1177185.63
Computers,595395.0
Electronics,333327.26
Cameras ,240496.68
Garden,231765.46
Children's Clothing,209268.38
Crafts,200704.87
Girls' Apparel,136206.83
Women's Clothing,126006.93
Accessories,119712.55
Sporting Goods,105063.61
Golf Gloves,104787.4
Music,101687.29
Consumer Electronics,97937.56
Golf Shoes,96506.47
Health and Beauty,95358.11
Kids' Golf Clubs,89473.7
Baseball & Softball,84367.27
Boxing & MMA,76286.72
DVDs,71319.38
Golf Balls,69341.25
Trade-In,61667.54
Hunting & Shooting,50878.91
Strength Training,48813.84
Hockey,43618.36
Men's Golf Clubs,42382.79
Tennis & Racquet,40077.81
Women's Golf Clubs,39984.39
Men's Clothing,39365.71
Pet Supplies,37318.3
Lacrosse,35415.93
Fitness Accessories,31751.36
Golf Apparel,31447.44
Video Games,29919.2
Basketball,24705.33
Soccer,23909.95
As Seen on  TV!,18519.61
Books ,11303.42
Baby ,10957.4
Golf Bags & Carts,9403.79
Toys,5485.68
CDs ,2750.03
